Row	Col	ControlType	ProbeName	SystematicName	logFC	t	P.Value	adj.P.Val	B
12826	157	34	0	A_07_P047348	Z5729	-3.63661384009967	-25.5636810539152	1.338503632618e-08	1.20934640063391e-06	10.7261976428601
12153	149	17	0	A_07_P057911	ECs4889	-4.02347597725856	-25.5559412162889	1.34153174832562e-08	1.20934640063391e-06	10.7239947305776
14247	174	61	0	A_07_P063016	ECs0748	-3.73114576062666	-25.5398938791378	1.34783479424013e-08	1.20934640063391e-06	10.7194246789749
5386	66	56	0	A_07_P031022	c_0455	-4.40920467013257	-25.5116767138216	1.35899930189339e-08	1.20934640063391e-06	10.7113801230237
8021	98	67	0	A_07_P034524	c_4236	-3.87408713120387	-25.4839501658833	1.37007169987612e-08	1.20934640063391e-06	10.7034646017601
8409	103	45	0	A_07_P009180	b1417	-3.76413259209908	-25.4823584312666	1.37071043852137e-08	1.20934640063391e-06	10.7030098584513
11690	143	46	0	A_07_P019409	b3926	-4.64192112543187	-25.4620240246523	1.37890003450657e-08	1.20934640063391e-06	10.6971973903938
13103	160	65	0	A_07_P011374	b4127	-3.73071238340431	-25.4046015693553	1.40232715507234e-08	1.21860943237112e-06	10.6807521896484
8194	100	76	0	A_07_P010127	b0722	-3.87938144044346	-25.2315726616177	1.47568746864431e-08	1.26158720340625e-06	10.6309169391071
1139	14	73	0	A_07_P013166	b2422	-5.32993831440156	-25.2253110504382	1.4784225039917e-08	1.26158720340625e-06	10.6291055169311
12083	148	29	0	A_07_P034539	c_4245	-3.65840644564533	-25.1272584827643	1.52200807691145e-08	1.28372249081362e-06	10.6006667552352
10351	127	19	0	A_07_P004325	b0774	-4.67779720344319	-25.1063965099067	1.53146792083972e-08	1.28372249081362e-06	10.594598245173
8992	110	54	0	A_07_P043894	Z0608	-3.59938345576729	-25.0426070950329	1.56080835358821e-08	1.29684006361294e-06	10.5760037370615
9990	122	68	0	A_07_P055986	ECs3559	-4.20327928311452	-24.9726913592596	1.59369944524846e-08	1.30046999807076e-06	10.5555558291199
12262	150	44	0	A_07_P047356	Z5764	3.15868024032455	24.9678392104656	1.59601102226347e-08	1.30046999807076e-06	10.554134113415
10668	131	8	0	A_07_P053100	ECs3042	-3.32268245379457	-24.9011455785634	1.62817147788419e-08	1.30046999807076e-06	10.5345576467085
3969	49	33	0	A_07_P008690	b4005	-4.12794380107564	-24.8801873679349	1.63842867603267e-08	1.30046999807076e-06	10.5283924159366
1618	20	60	0	A_07_P018306	b3458	-3.56737714481189	-24.8177177184272	1.6694383587246e-08	1.30046999807076e-06	10.5099776902881
5891	72	69	0	A_07_P030043	c_2948	-5.58613810004302	-24.8140251010754	1.67129203743223e-08	1.30046999807076e-06	10.50888739217
345	5	17	0	A_07_P034526	c_4240	-3.6225767458051	-24.7805159319436	1.68822034974777e-08	1.30046999807076e-06	10.4989841593946
11110	136	40	0	A_07_P020801	b1634	3.3760136201162	24.7731249898024	1.69198019524997e-08	1.30046999807076e-06	10.4967976288046
6620	81	60	0	A_07_P001903	b2686	3.21997006092263	24.7262206257562	1.71606287965254e-08	1.30046999807076e-06	10.4829026813819
14234	174	48	0	A_07_P056037	ECs3605	-6.68577933550771	-24.7201798580702	1.7191925556582e-08	1.30046999807076e-06	10.4811108004109
7496	92	34	0	A_07_P015610	b1783	-4.17287616791318	-24.6927747569123	1.73347225859561e-08	1.30046999807076e-06	10.4729748000036
10240	125	72	0	A_07_P000486	b3153	-3.94579349410196	-24.685724204123	1.73716768595248e-08	1.30046999807076e-06	10.4708798375112
11992	147	20	0	A_07_P020152	b2660	-3.97943220036052	-24.6733741270141	1.74366226514977e-08	1.30046999807076e-06	10.4672084250725
2936	36	66	0	A_07_P039521	c_4916	-3.12666863942735	-24.5797500630756	1.79379976775085e-08	1.32741182813563e-06	10.4393021531104
6225	76	75	0	A_07_P034361	c_4137	-3.14895642103531	-24.3883267705559	1.90147037809454e-08	1.39618042025671e-06	10.3818359775478
1845	23	41	0	A_07_P020146	b2659	-4.6892597792522	-24.3519901273122	1.92272419593846e-08	1.40092642953301e-06	10.3708649902448
4106	51	6	0	A_07_P020176	b2665	-3.55276091479382	-24.2984838171513	1.95451177895565e-08	1.41321645574564e-06	10.3546734379232
11403	140	5	0	A_07_P015921	b1849	-3.77025825227732	-24.2559441940902	1.98020864520046e-08	1.42094971873778e-06	10.3417693129072
14580	178	66	0	A_07_P004939	b0898	3.47349511732785	24.2307173912488	1.99562778457358e-08	1.42124709590082e-06	10.3341038264995
12494	153	30	0	A_07_P056979	ECs0943	-5.36345794553963	-24.2032497172988	2.01257122890083e-08	1.42261751344393e-06	10.3257463086197
5826	72	4	0	A_07_P061581	ECs5137	3.03625109454231	24.1763062976786	2.02934953871225e-08	1.42385176523573e-06	10.3175370245089
9932	122	10	0	A_07_P010142	b0725	-3.73331959920224	-24.0679064370521	2.09847031315863e-08	1.46152285339989e-06	10.2843957532342
4168	51	68	0	A_07_P051706	Z0877	-3.67584920148901	-24.0279959843888	2.12458673411293e-08	1.46891135368742e-06	10.2721479312182
13672	167	60	0	A_07_P048486	Z0040	-2.98951513421281	-23.9403106161529	2.18326729616607e-08	1.49175663700475e-06	10.2451514800469
11637	142	75	0	A_07_P006481	b2903	-3.44872351891045	-23.9317002649407	2.18912766621264e-08	1.49175663700475e-06	10.2424940418913
14291	175	23	0	A_07_P004331	b0776	-5.27277091861398	-23.8863614557355	2.22028115783174e-08	1.50217879478445e-06	10.2284817616311
7256	89	40	0	A_07_P046286	Z0873	-2.78619907211739	-23.8220862382138	2.26530946572579e-08	1.52177384818119e-06	10.2085614943419
10110	124	24	0	A_07_P013177	b2424	-4.45641595753647	-23.7601521045498	2.3096771463637e-08	1.53397325654936e-06	10.18930487198
3335	41	55	0	A_07_P004404	b0790	-3.48343676620963	-23.7516294167611	2.31585911831249e-08	1.53397325654936e-06	10.1866502173004
11336	139	20	0	A_07_P012136	b3001	-3.31757718425188	-23.7184127913305	2.34013221061303e-08	1.53928696520324e-06	10.1762928245683
11533	141	53	0	A_07_P010261	b0034	-3.00685526332756	-23.6786140156791	2.36959500272201e-08	1.54791750798502e-06	10.1638598248926
13994	171	54	0	A_07_P008693	b4006	-3.83481698358387	-23.634609061124	2.40266109043284e-08	1.55876752387534e-06	10.1500832944262
6531	80	53	0	A_07_P043074	Z3958	-3.8335982902054	-23.5452203590283	2.47144880175749e-08	1.58191598850975e-06	10.1220026547809
6584	81	24	0	A_07_P003250	b2097	-3.78018456418891	-23.5448431836669	2.47174373204648e-08	1.58191598850975e-06	10.1218838952965
2368	29	72	0	A_07_P004806	b0871	-3.84390929890398	-23.505378635615	2.50282396250402e-08	1.59105695119719e-06	10.1094451384248
12297	150	79	0	A_07_P052656	Z3498	-4.11831149491235	-23.4779031160959	2.52472325674287e-08	1.59427857919123e-06	10.100770258782
278	4	32	0	A_07_P063704	ECs5051	-4.77105959080262	-23.4139014377006	2.57658111771255e-08	1.61625008920353e-06	10.0805152677498
1585	20	27	0	A_07_P054863	ECs2304	3.48770453401824	23.3466322584806	2.63238909909688e-08	1.64030089388702e-06	10.0591540074975
578	8	4	0	A_07_P011370	b4126	-3.65000694648823	-23.3262625588542	2.64955697597882e-08	1.64030089388702e-06	10.052670979622
11012	135	24	0	A_07_P018251	b3447	-3.69107478835951	-23.2591174763687	2.70705095036297e-08	1.66501211700247e-06	10.031252416406
7685	94	59	0	A_07_P017821	b3359	-3.7741586514484	-23.2293891242473	2.73295594783303e-08	1.67010056373384e-06	10.0217455881229
12334	151	34	0	A_07_P034532	c_4241	-3.422952152625	-23.198730177654	2.75996592980901e-08	1.67579469789429e-06	10.0119258124561
8323	102	41	0	A_07_P051980	Z0858	-3.18767338682958	-23.1480696674212	2.80526117609487e-08	1.69244801655864e-06	9.99566546055773
10416	128	2	0	A_07_P009499	b1482	-3.55196274882969	-23.0604603471271	2.88559051482514e-08	1.72989325040656e-06	9.96744456992318
4628	57	36	0	A_07_P008494	b3958	-5.17671547157689	-22.988468785616	2.95355018853338e-08	1.75949857772253e-06	9.94415799309713
5784	71	44	0	A_07_P020239	b1518	-3.58403158911367	-22.9458784283282	2.99460666997538e-08	1.77280714862542e-06	9.93034039693196
10194	125	26	0	A_07_P001891	b2684	2.90449044735668	22.8362491333963	3.10328960936413e-08	1.8154574811365e-06	9.89463159543816
8081	99	45	0	A_07_P004422	b0794	-2.81831429207898	-22.8345742413734	3.10498428995051e-08	1.8154574811365e-06	9.8940844542955
7557	93	13	0	A_07_P019485	b3941	-5.32540317905215	-22.7931065338221	3.14727751720407e-08	1.828896481163e-06	9.88052277465097
7121	87	69	0	A_07_P043105	Z4007	-2.76570975248997	-22.6450919184763	3.30364036733999e-08	1.89810239724684e-06	9.83187438734872
9776	120	18	0	A_07_P016404	b0523	-2.96962582663019	-22.6425056866416	3.3064494884473e-08	1.89810239724684e-06	9.83102099352863
14048	172	26	0	A_07_P043897	Z0609	-3.87743720974916	-22.5860368459817	3.36846350363774e-08	1.92205339195522e-06	9.81235863481102
431	6	21	0	A_07_P040763	c_1318	-4.08657556065006	-22.5646865574195	3.39225220475826e-08	1.924036699609e-06	9.80528810411943
4332	53	68	0	A_07_P049516	Z5023	-2.74803629125292	-22.5131792753777	3.45042818641389e-08	1.94538427272097e-06	9.78819771516885
10177	125	9	0	A_07_P052329	Z5668	-4.82030108643706	-22.3908595804836	3.593161379681e-08	2.00182787232219e-06	9.7474244060436
9695	119	19	0	A_07_P006981	b1206	2.63196207244787	22.3598243830995	3.63043000176404e-08	2.00182787232219e-06	9.73703723409217
8880	109	24	0	A_07_P009526	b1488	-3.81684319513658	-22.3572885383222	3.63349443854902e-08	2.00182787232219e-06	9.73618775609565
10852	133	28	0	A_07_P058136	ECs1711	2.68351107747011	22.3558934035743	3.635181633767e-08	2.00182787232219e-06	9.7357203537159
3879	48	25	0	A_07_P019686	b2557	-3.61916872834462	-22.338566231172	3.65621011308845e-08	2.00182787232219e-06	9.72991246545662
7855	96	65	0	A_07_P046634	Z1090	-5.47045882743694	-22.276983333614	3.73206897525104e-08	2.03161823756195e-06	9.70922720547254
4229	52	47	0	A_07_P017297	b3673	4.78558544806011	22.2121154208293	3.81390529023843e-08	2.0643034805222e-06	9.68736513799361
4089	50	71	0	A_07_P010232	b0750	-3.23493969442886	-22.1350807236337	3.91373904215055e-08	2.0995363922247e-06	9.66130421512362
6082	75	14	0	A_07_P020624	b1598	3.45023511918086	22.1277962892153	3.92333130726111e-08	2.0995363922247e-06	9.65883433422266
5147	63	63	0	A_07_P010122	b0721	-3.75102202653232	-22.0803708380077	3.98643582652339e-08	2.12132135667582e-06	9.64273060304622
14224	174	38	0	A_07_P037116	c_5364	-2.74273098483878	-22.0293313922565	4.05563480011513e-08	2.14225769374748e-06	9.62535401273104
8499	104	53	0	A_07_P012133	b3000	-2.64647336161482	-22.0167671260666	4.07287703024803e-08	2.14225769374748e-06	9.62106916812889
449	6	39	0	A_07_P063552	ECs4297	-3.69353788613227	-22.0017240702478	4.09363009468215e-08	2.14225769374748e-06	9.61593517570912
13068	160	30	0	A_07_P045485	Z3405	-3.27677871199891	-21.8790857542263	4.26735252527812e-08	2.21849544666157e-06	9.57392540569395
3332	41	52	0	A_07_P060156	ECs4475	-2.75334132991057	-21.8661513397978	4.2861556877013e-08	2.21849544666157e-06	9.56947856029717
13315	163	31	0	A_07_P020182	b2666	-3.29043796777795	-21.8282198332601	4.34184038764745e-08	2.22830711118162e-06	9.55641986077664
8591	105	63	0	A_07_P017840	b3362	-3.05413200248877	-21.8212491422375	4.3521623265266e-08	2.22830711118162e-06	9.55401715441544
12115	148	61	0	A_07_P032239	c_2684	-3.37293677800716	-21.7262986385144	4.49556068587736e-08	2.28935219444249e-06	9.52119885118783
12279	150	61	0	A_07_P011472	b4148	-3.07392316286422	-21.6190910530371	4.6639310027657e-08	2.34255193251523e-06	9.48394110229811
6736	83	12	0	A_07_P004432	b0796	-3.35223366927632	-21.6149846466783	4.67052050332871e-08	2.34255193251523e-06	9.48250970171588
8919	109	63	0	A_07_P032191	c_2659	-2.83725923685432	-21.6126807934655	4.67422207818178e-08	2.34255193251523e-06	9.48170649094664
4492	55	64	0	A_07_P008503	b3960	-4.54278712940804	-21.5686737848199	4.7455684052732e-08	2.36579073340777e-06	9.46634469314843
844	11	24	0	A_07_P041529	c_0605	-3.87222446243991	-21.536586331679	4.79836661652486e-08	2.37958788438343e-06	9.45512057568001
12142	149	6	0	A_07_P010151	b0727	-3.47646892025026	-21.479706778962	4.89359946298372e-08	2.41417573507197e-06	9.43517607651036
11030	135	42	0	A_07_P052167	Z4819	-3.57665600788947	-21.43576259312	4.96863914033751e-08	2.42437440935323e-06	9.41972496651497
14372	176	22	0	A_07_P058957	ECs4115	4.27967643865215	21.4264508472894	4.98470654810746e-08	2.42437440935323e-06	9.41644613386089
7326	90	28	0	A_07_P016397	b0522	-3.24549573538021	-21.4227792902015	4.99105795844469e-08	2.42437440935323e-06	9.41515285526879
15549	190	51	0	A_07_P054243	ECs2038	-3.14793321208678	-21.3626900288397	5.09631746084001e-08	2.457906382604e-06	9.39395001334516
12488	153	24	0	A_07_P063307	ECs2892	-3.44319870659868	-21.339106822893	5.13831267712785e-08	2.457906382604e-06	9.38560951875338
6006	74	20	0	A_07_P010165	b0729	-2.98433654073823	-21.3368892141314	5.14228171458165e-08	2.457906382604e-06	9.38482468082258
4497	55	69	0	A_07_P018111	b3417	-2.90392806253474	-21.3241889479151	5.16507931278605e-08	2.457906382604e-06	9.38032807358666
1558	19	82	0	A_07_P056596	ECs0745	-2.95790557680153	-21.310468822749	5.18983611191724e-08	2.457906382604e-06	9.37546686910046
2500	31	40	0	A_07_P013855	b2313	-3.18612709337388	-21.2550638312331	5.29118381625162e-08	2.49343746803658e-06	9.35579904809759
