Gene	RNASeq18MM-1-uP	RNASeq18MM-2-uP	RNASeq18MM-3-uP	RNASeq18LL-1-uP	RNASeq18LL-1-uP	RNASeq18LL-1-uP
ECs0409	1106	1093	1851	1478	1308	1380
ECs0410	2137	2223	3004	1891	1679	1947
ECs0411	9568	9164	13637	3639	3180	3662
ECs0412	2295	2536	3667	1117	807	1002
ECs0413	758	711	1083	438	512	506
ECs0414	694	687	892	500	487	614
ECs0415	804	629	1148	342	340	403
ECs0416	728	703	1045	673	543	684
ECs0417	1007	898	1124	126	140	222
ECs0418	608	629	676	96	62	124
ECs0419	864	1442	565	121	94	93
ECs0420	707	851	377	46	51	56
ECs0421	491	647	221	37	34	61
ECs0422	2232	2835	1480	360	330	334
ECs0423	8690	8896	12154	6564	6118	6991
ECs0424	2373	2743	3596	2725	2385	2679
ECs0425	85	101	93	118	109	124
ECs0426	2273	2042	2814	1391	1392	1558
ECs0427	1201	973	1750	1369	978	1197
ECs0428	2863	2982	3797	2232	2162	2358
ECs0429	1733	2882	2523	455	442	458
ECs0430	400	376	631	271	200	247
ECs0431	6699	7469	9481	5933	4876	6161
ECs0432	1657	1889	3149	550	469	541
ECs0433	1897	1798	3362	992	712	826
ECs0434	3232	3982	5683	268	263	275
ECs0435	772	831	1180	685	553	639
ECs0437	5049	5095	6625	2712	2722	3798
ECs0436	1578	1464	1764	1547	1605	2024
ECs0438	4419	5221	6110	2328	2041	2817
ECs0439	2925	3604	5099	1052	958	1241
ECs0440	6905	7049	10533	893	826	1114
ECs0441	4766	5977	7969	1062	1073	1283
ECs0442	60	31	66	53	49	38
ECs0443	290	287	410	502	434	488
ECs0445	13500	10298	22011	13502	10329	11091
ECs0444	611	353	726	271	206	297
ECs0446	1119	1206	1705	1321	1072	1339
ECs0447	3750	3606	4838	2705	2519	3153
ECs0448	2155	2277	2964	1715	1605	1835
ECs0449	1837	1980	2693	1864	1464	1782
ECs0450	2002	2062	2642	2059	1796	2006
ECs0451	8226	7972	9469	10181	8742	11207
ECs0452	3088	2797	4448	10340	7742	8006
ECs0453	789	631	1012	845	658	691
ECs0454	466	489	863	487	400	558
ECs0455	1427	1701	2426	1013	833	1062
ECs0456	6440	5221	7721	8421	8260	10227
ECs0457	30923	33211	51879	34654	29902	34222
ECs0458	16563	17252	27349	11272	9385	10885
ECs0459	31504	31217	47240	34297	28594	34008
ECs0460	12161	9002	19342	15673	11802	13407
ECs0461	915	1007	1452	773	631	764
ECs0462	1068	1191	1577	892	758	837
ECs0463	2754	3462	4691	2562	2318	2655
ECs0464	12591	14366	19283	4772	4139	4562
ECs0465	1860	2619	2546	634	504	544
ECs0466	1846	1689	2720	1854	1542	1662
ECs0467	3953	3625	5278	3504	3045	3443
ECs0468	9558	10292	13439	15122	14120	15911
ECs0469	11565	12766	15987	16867	15092	17166
ECs0470	1021	844	1273	1988	1586	1819
ECs0471	1165	972	1918	2108	1755	1936
ECs0472	273	313	379	254	213	270
ECs0473	4039	2990	6276	698	600	691
ECs0474	12248	13443	16131	10892	10224	12693
ECs0475	8569	10533	12021	7971	7287	8890
ECs0476	2212	1517	1603	1086	1428	2609
ECs0477	13445	14307	18488	27785	25742	29709
ECs0478	902	807	932	769	873	1227
ECs0479	1646	2059	2659	1421	1267	1471
ECs0480	7898	9280	13127	6711	6144	7230
ECs0481	2271	2338	2960	4513	4337	5051
ECs0482	11345	8746	15009	32489	25992	26257
ECs0483	5184	4670	7265	16523	12892	12192
ECs0484	8828	7903	10260	22911	21270	19834
ECs0485	48600	50975	61233	133540	125224	118661
ECs0486	35083	40004	49878	97777	94773	87578
ECs0487	4859	5627	6478	8124	8376	9408
ECs0488	7427	9211	11105	10406	9530	10487
ECs0489	22276	27315	38516	2920	3009	3558
ECs0490	141356	164937	206262	171452	152332	174880
ECs0491	20480	23833	31005	19643	17543	19516
ECs0492	40473	42367	58453	35195	29451	35342
ECs0493	52202	48195	79788	39147	29696	32331
ECs0494	20135	21717	31833	15132	13132	14689
ECs0495	28464	27570	40776	32785	29302	34397
ECs0496	281	275	403	439	341	413
ECs0497	758	722	1038	469	379	367
ECs0498	3055	2073	3883	1614	1299	1685
ECs0499	842	908	1084	457	464	484
ECs0500	1847	2267	3053	1442	1257	1548
ECs0501	1018	1023	1421	1043	935	1388
ECs0502	1672	1351	2265	2443	2161	3211
ECs0503	1609	1520	1696	1817	2166	3702
ECs0504	761	482	2513	189	109	142
ECs0505	1799	887	3664	813	542	580
ECs0506	2731	2964	3641	1080	1065	1191
ECs0507	19710	28197	27070	2816	2639	2619
ECs0508	676	787	684	210	186	249
ffs	371	426	447	1057	1103	1269
ECs0509	4141	4340	6661	2447	2466	2652
ECs0510	2526	2912	3841	2064	1984	2139
ECs0511	2006	2284	3094	1570	1512	1458
ECs0512	1918	2392	2980	2551	2303	2691
ECs0513	2252	2784	3122	2784	2640	3162
ECs0514	3926	5160	6143	2802	2528	3153
ECs0515	46769	54072	65645	49449	42586	48040
ECs0516	19205	22518	26803	17308	14787	16729
ECs0517	3950	4966	5959	3241	2942	3527
ECs0518	9533	11086	13834	21163	19039	21792
ECs0519	130	111	193	157	104	111
ECs0520	676	630	710	293	372	521
ECs0521	1243	1191	1228	521	602	754
ECs0522	10214	10825	17402	17419	16202	20713
ECs0523	11149	10055	12114	10479	11695	16342
ECs0524	8241	8964	13603	6667	5676	6853
ECs0525	7287	7626	10233	5612	5399	6633
ECs0526	30684	33036	46548	7206	6610	7172
ECs0527	26213	30625	42325	15762	14131	16939
ECs0528	5537	5972	5319	2500	2461	3152
ECs0529	686	796	862	432	390	463
ECs0530	7204	7982	10997	25701	23377	22494
ECs0531	14026	14031	18211	5711	5317	6789
ECs0532	1465	1368	2152	2112	1771	2016
ECs0533	3566	3266	5476	1844	1625	1938
ECs0534	1627	1915	2660	1095	797	1117
ECs0535	15260	15810	23339	15356	12661	15287
ECs0536	13412	15286	20312	14735	12170	14313
ECs0537	47315	42030	48391	9589	9893	14998
ECs0538	7715	9713	13708	343	365	408
ECs0539	12085	13983	19078	803	758	840
ECs0540	17412	22021	24662	801	815	695
ECs0541	26640	24530	24900	879	1006	1121
ECs0542	4148	3484	3019	1350	1764	2638
ECs0543	484	411	492	287	263	340
ECs0544	392	361	512	275	306	346
ECs0545	321	338	425	250	243	301
ECs0546	39	64	85	65	73	124
ECs0547	0	0	0	0	0	0
ECs0548	177	135	301	224	233	264
ECs0549	2104	2446	3403	2063	1814	2326
ECs0550	101	20	8	10	42	162
ECs0551	796	506	504	257	389	700
ECs0552	4120	4831	6412	3376	2656	3211
ECs0553	624	703	1075	507	393	494
ECs0554	443	458	748	352	280	295
ECs0555	8656	9009	10056	2571	2682	3488
ECs0556	2689	2874	3662	1671	1537	2149
ECs0558	2863	2701	3456	883	917	1371
ECs0557	1955	1677	1890	503	599	807
ECs0559	2126	1353	2383	589	473	699
ECs0560	854	878	954	1081	1179	1243
ECs0561	7	15	25	18	24	31
ECs0562	5	9	18	16	25	16
ECs0563	243	258	375	327	222	243
ECs0564	780	455	1054	996	663	861
ECs0565	108	91	171	63	56	74
ECs0566	86	100	162	88	50	79
ECs0567	4439	4160	6897	2118	1886	2024
ECs0568	165	202	226	116	119	101
ECs0569	18	13	43	22	11	11
ECs0570	191	247	386	141	91	111
ECs0571	0	1	3	0	2	0
ECs0572	33	18	82	48	18	26
ECs0573	61	78	96	83	60	83
ECs0574	283	236	425	136	81	105
ECs0575	746	749	1317	125	99	90
ECs0576	116	98	237	45	17	26
ECs0577	540	631	869	261	216	232
ECs0578	291	385	440	221	169	144
ECs0579	98	91	134	84	101	98
ECs0580	108	54	84	28	47	66
ECs0581	133	134	145	74	81	99
ECs0582	61	94	104	76	66	101
ECs0583	1029	984	1206	201	156	194
ECs0584	24857	20624	25895	1564	1767	2293
ECs0585	11011	10330	14225	1070	926	1107
ECs0586	4044	4468	6186	4804	4151	5154
ECs0587	22997	26830	38192	15627	14246	16762
ECs0588	7904	7669	9321	6170	6597	8190
ECs0589	681	593	957	816	738	792
ECs0590	1213	467	732	325	478	752
ECs0591	10042	8407	14751	5675	5295	5831
ECs0592	206	130	364	103	67	55
ECs0593	75	93	111	106	85	114
ECs0594	135	125	250	163	94	125
ECs0595	39	28	73	37	18	21
ECs0596	19	31	41	34	29	28
ECs0597	31	27	43	27	11	30
argU	56	80	125	127	145	159
ECs0598	400	471	670	1199	1155	1341
ECs0599	324	429	460	1883	1745	1965
ECs0600	1435	1495	1823	7790	7387	8889
ECs0601	1033	1008	1443	7907	7221	8171
ECs0602	319	360	470	290	252	273
ECs0603	791	620	791	352	306	515
ECs0604	419	481	610	217	181	188
ECs0605	918	702	1062	426	420	591
ECs0606	35	33	58	36	40	20
ECs0607	61	53	105	62	47	46
ECs0608	2860	2738	3799	871	937	1067
ECs0609	2813	2541	3861	1194	1085	1303
ECs0610	5277	5074	7034	150	152	163
ECs0611	3087	3130	4723	22	18	8
ECs0612	6400	5844	7984	133	152	208
ECs0613	7331	6219	10115	462	442	543
ECs0614	7580	8581	13390	12763	11765	14575
ECs0615	2963	3276	4607	3697	2974	3506
ECs0616	7361	8545	11493	5307	5297	6373
ECs0617	653	719	948	542	453	532
ECs0618	781	956	1064	718	757	792
ECs0619	3718	4196	4986	501	425	505
ECs0620	616	654	1140	849	836	977
ECs0621	869	1010	1430	1420	1383	1582
ECs0622	205	184	306	189	143	192
ECs0623	1291	1107	1408	501	449	530
ECs0624	294	287	255	111	88	132
ECs0625	1451	1620	1627	1295	1247	1603
ECs0626	85	111	134	146	140	152
ECs0627	211	217	172	112	88	139
ECs0628	222	158	147	58	69	125
ECs0629	279	287	268	105	89	189
ECs0630	327	237	219	146	154	281
ECs0631	679	634	772	252	236	255
ECs0632	546	459	346	128	175	198
ECs0633	595	476	580	315	324	437
ECs0634	308	241	210	93	90	105
ECs0635	295	245	274	119	105	133
ECs0636	189	117	121	50	77	100
ECs0637	12972	7478	12962	1201	987	1364
ECs0638	4221	10182	7308	543	425	527
ECs0639	4019	9143	6755	236	288	354
ECs0640	386	844	862	160	138	156
