FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	33	1	33	0	0	A_07_P059384	ECs0021	12545.1	340.56	1.66E+01	4.37E+00	72	50	1.71E+01	0	0	0	0	0	0	13.9096	1	0	56.2381	52.9924
DATA	34	1	34	66	-1	(-)3xSLv1	NegativeControl	12587.5	340.508	3.99E+00	4.02E+00	53	48	1.64E+01	0	0	0	0	0	0	-4.9805	0	0	65	51.7442
DATA	35	1	35	0	0	A_07_P009416	b1465	12628.5	340.825	6.17E+01	7.36E+00	105	48	1.65E+01	0	0	0	0	0	0	52.2785	1	1	36.9275	51.7413
DATA	36	1	36	0	0	A_07_P010040	b0704	12671	340.09	6.17E+01	7.34E+00	101	48	1.68E+01	0	0	0	0	0	0	52.5528	1	1	39.622	52.1961
DATA	37	1	37	0	0	A_07_P001866	b2679	12714	340.873	2.15E+03	2.15E+02	1806	47	1.63E+01	0	0	0	0	0	0	1840.51	1	1	49.4045	51.2094
DATA	38	1	38	66	-1	(-)3xSLv1	NegativeControl	12755.7	339.993	3.90E+00	3.93E+00	56	48	1.54E+01	0	0	0	0	0	0	0.408521	0	0	40.3386	51.1773
DATA	39	1	39	0	0	A_07_P017232	b3659	12799.1	340.56	6.16E+00	3.96E+00	61	48	1.58E+01	0	0	0	0	0	0	5.33544	1	0	65	51.4785
DATA	40	1	40	0	0	A_07_P010981	b0059	12841.3	340.762	7.86E+03	7.86E+02	6759	50	1.66E+01	0	0	0	0	0	0	6841.42	1	1	51.5609	52.7354
DATA	41	1	41	66	-1	(-)3xSLv1	NegativeControl	12883.8	340.59	3.84E+00	3.87E+00	52	49	1.63E+01	0	0	0	0	0	0	-4.95824	0	0	65	52.1888
DATA	42	1	42	66	-1	(-)3xSLv1	NegativeControl	12926.1	340.56	3.82E+00	3.85E+00	51	48	1.63E+01	0	0	0	0	0	0	-6.65195	0	0	65	52.0331
DATA	43	1	43	0	0	A_07_P043506	Z0335	12967.5	340.415	8.59E+00	3.93E+00	65	48	1.73E+01	0	0	0	0	0	0	7.58329	1	0	45.7933	52.8339
DATA	44	1	44	66	-1	(-)3xSLv1	NegativeControl	13010.8	340.952	3.78E+00	3.82E+00	50	48	1.67E+01	0	0	0	0	0	0	-9.35692	0	0	65	52.2107
DATA	45	1	45	0	0	A_07_P037782	c_5119	13052.5	341.074	1.09E+03	1.09E+02	990.5	49	1.70E+01	0	0	0	0	0	0	968.742	1	1	47.3919	52.9881
DATA	46	1	46	66	-1	(-)3xSLv1	NegativeControl	13095.4	340.973	3.75E+00	3.79E+00	54.5	49	1.70E+01	0	0	0	0	0	0	-2.99598	0	0	54.6886	52.8119
DATA	47	1	47	66	-1	(-)3xSLv1	NegativeControl	13137.8	340.956	3.74E+00	3.77E+00	54	48	1.68E+01	0	0	0	0	0	0	-3.16627	0	0	65	52.1611
DATA	48	1	48	0	0	A_07_P053270	ECs3225	13179.5	341.01	2.78E+02	2.81E+01	309	48	1.64E+01	0	0	0	0	0	0	250.516	1	1	47.3919	52.0118
DATA	49	1	49	0	0	A_07_P003289	b2105	13222.4	340.973	2.07E+04	2.07E+03	17579	49	1.75E+01	0	0	0	0	0	0	18657.9	1	1	54.6886	53.1653
DATA	50	1	50	0	0	A_07_P011538	b4161	13264.1	341	2.23E+04	2.23E+03	18686	50	1.67E+01	0	0	0	0	0	0	20138.8	1	1	47.8731	53.5042
DATA	51	1	51	0	0	A_07_P054262	ECs2060	13306.6	340.623	1.21E+02	1.26E+01	163	49	1.67E+01	0	0	0	0	0	0	109.343	1	1	42.1446	52.8061
DATA	52	1	52	0	0	A_07_P035485	c_1914	13348.9	340.979	1.43E+02	1.48E+01	187	48	1.66E+01	0	0	0	0	0	0	129.959	1	1	46.5379	52.6409
DATA	53	1	53	66	-1	(-)3xSLv1	NegativeControl	13391.8	341.044	3.69E+00	3.72E+00	50	47.5	1.66E+01	0	0	0	0	0	0	-7.45837	0	0	65	52.0642
DATA	54	1	54	0	0	A_07_P007191	b1251	13433.5	341.139	1.36E+03	1.37E+02	1299	49	1.74E+01	0	0	0	0	0	0	1244.38	1	1	47.6331	53.2777
DATA	55	1	55	0	0	A_07_P011767	b2924	13475.7	341.056	2.07E+04	2.07E+03	17849.5	50	1.73E+01	0	0	0	0	0	0	18938.7	1	1	47.0278	53.0226
DATA	56	1	56	0	0	A_07_P044636	Z2991	13518	340.984	4.57E+02	4.58E+01	462.5	50	1.72E+01	0	0	0	0	0	0	417.387	1	1	46.0429	53.4979
DATA	57	1	57	0	0	A_07_P055808	ECs2940	13560.6	341.036	6.52E+02	6.53E+01	647.5	48	1.62E+01	0	0	0	0	0	0	596.115	1	1	47.3919	51.7736
DATA	58	1	58	0	0	A_07_P040530	c_1247	13603.8	341.667	3.67E+00	3.72E+00	59	48	1.60E+01	0	0	0	0	0	0	2.724	0	0	65	51.8024
DATA	59	1	59	66	-1	(-)3xSLv1	NegativeControl	13645.8	341.044	3.67E+00	3.71E+00	52	49	1.62E+01	0	0	0	0	0	0	-2.06619	0	0	65	52.5657
