FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	32	1	32	0	0	A_07_P056011	ECs3589	12502.7	4448.04	3.00E+03	3.00E+02	3255	49	1.64E+01	0	0	0	0	0	0	3354.37	1	1	47.6331	52.0884
DATA	33	1	33	0	0	A_07_P059384	ECs0021	12545.1	4447.69	1.02E+02	1.25E+01	184	49	1.63E+01	0	0	0	0	0	0	115.145	1	1	37.6953	52.1802
DATA	34	1	34	66	-1	(-)3xSLv1	NegativeControl	12587.4	4447.17	7.03E+00	7.09E+00	67.5	48	1.62E+01	0	0	0	0	0	0	-4.15058	0	0	65	51.742
DATA	35	1	35	0	0	A_07_P009416	b1465	12629.6	4448.3	4.51E+02	4.57E+01	573	48	1.63E+01	0	0	0	0	0	0	510.966	1	1	47.8731	51.6731
DATA	36	1	36	0	0	A_07_P010040	b0704	12671.5	4447.45	3.03E+01	7.66E+00	102	49	1.63E+01	0	0	0	0	0	0	34.516	1	0	41.182	51.8492
DATA	37	1	37	0	0	A_07_P001866	b2679	12714	4448.26	6.62E+03	6.62E+02	6905.5	50	1.63E+01	0	0	0	0	0	0	7558.53	1	1	48.3494	52.9822
DATA	38	1	38	66	-1	(-)3xSLv1	NegativeControl	12755.8	4447.82	6.93E+00	6.99E+00	64	49	1.56E+01	0	0	0	0	0	0	-9.65533	0	0	40.0535	52.1469
DATA	39	1	39	0	0	A_07_P017232	b3659	12799	4448.39	6.91E+00	6.97E+00	66	49	1.66E+01	0	0	0	0	0	0	-8.43628	0	0	65	52.7069
DATA	40	1	40	0	0	A_07_P010981	b0059	12841.4	4448.53	2.42E+03	2.42E+02	2724	49	1.70E+01	0	0	0	0	0	0	2785.11	1	1	52.1135	52.578
DATA	41	1	41	66	-1	(-)3xSLv1	NegativeControl	12883.6	4448.44	6.87E+00	6.94E+00	75	49	1.60E+01	0	0	0	0	0	0	4.45786	0	0	56.4415	52.0235
DATA	42	1	42	66	-1	(-)3xSLv1	NegativeControl	12926	4448.39	6.85E+00	6.91E+00	66.5	49	1.58E+01	0	0	0	0	0	0	-6.95354	0	0	65	51.9064
DATA	43	1	43	0	0	A_07_P043506	Z0335	12968.4	4447.84	1.83E+01	7.13E+00	92	47	1.65E+01	0	0	0	0	0	0	21.2263	1	0	35.9845	51.3403
DATA	44	1	44	66	-1	(-)3xSLv1	NegativeControl	13010.6	4448.44	1.75E+01	7.10E+00	89	49	1.75E+01	0	0	0	1	0	0	20.3212	1	0	56.4415	52.9695
DATA	45	1	45	0	0	A_07_P037782	c_5119	13052.7	4448.61	2.41E+03	2.41E+02	2747.5	48	1.63E+01	0	0	0	0	0	0	2810.44	1	1	49.172	51.6259
