FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	1	1	1	260	1	GE_BrightCorner	GE_BrightCorner	599.147	4441.49	7.57E+02	7.64E+01	826.5	47	1.61E+01	0	0	0	0	0	0	772.745	1	1	53.3092	51.1113
DATA	2	1	2	66	1	DarkCorner	DarkCorner	642.096	4439.78	1.04E+01	1.05E+01	55.5	48	1.64E+01	0	0	0	0	0	0	-13.2497	0	0	36.1434	51.8366
DATA	3	1	3	66	1	DarkCorner	DarkCorner	683.915	4441.44	1.04E+01	1.05E+01	69	50	1.71E+01	0	0	0	0	0	0	2.81738	0	0	56.2381	53.4094
DATA	4	1	4	66	-1	(-)3xSLv1	NegativeControl	726.12	4441.44	1.04E+01	1.06E+01	74	49	1.71E+01	0	0	0	0	0	0	7.65185	0	0	56.4415	53.1426
DATA	5	1	5	0	0	A_07_P030071	c_2962	768.47	4440.91	2.31E+02	2.54E+01	298.5	50	1.78E+01	0	0	0	0	0	0	233.24	1	1	47.3919	54.0035
DATA	6	1	6	66	-1	(-)3xSLv1	NegativeControl	810.915	4441.44	1.05E+01	1.06E+01	57	50	1.83E+01	0	0	0	0	0	0	-11.6608	0	0	56.2381	54.5221
DATA	7	1	7	66	-1	(-)3xSLv1	NegativeControl	853.065	4441.5	1.05E+01	1.06E+01	65	49	1.79E+01	0	0	0	0	0	0	-6.87312	0	0	56.2381	53.1776
DATA	8	1	8	0	0	A_07_P046244	Z4877	895.955	4441.23	4.98E+02	5.09E+01	585.5	49	1.73E+01	0	0	0	0	0	0	500.888	1	1	48.2308	53.0468
DATA	9	1	9	0	0	A_07_P010256	b0018	937.742	4441.73	1.45E+03	1.45E+02	1526	50	1.74E+01	0	0	0	0	0	0	1458.49	1	1	51.5609	53.8011
DATA	10	1	10	0	0	A_07_P007924	b0242	980.004	4441.68	4.51E+03	4.51E+02	4519	51	1.82E+01	0	0	0	0	0	0	4536.01	1	1	50.8898	54.4744
DATA	11	1	11	0	0	A_07_P033036	c_3566	1022.47	4441.51	1.05E+01	1.06E+01	70	49	1.71E+01	0	0	0	0	0	0	-0.943537	0	0	56.8461	52.3963
DATA	12	1	12	0	0	A_07_P062362	ECs1250	1065.52	4442.15	9.89E+01	1.45E+01	164	50	1.77E+01	0	0	0	0	0	0	99.5966	1	1	46.1671	53.7401
DATA	13	1	13	66	-1	(-)3xSLv1	NegativeControl	1107.08	4441.56	1.05E+01	1.06E+01	71	51	1.80E+01	0	0	0	0	0	0	0.250657	0	0	56.2381	54.4738
DATA	14	1	14	0	0	A_07_P043700	Z0412	1149.5	4441.64	4.53E+02	4.65E+01	521.5	51	1.76E+01	0	0	0	0	0	0	456.894	1	1	50.2097	53.9539
DATA	15	1	15	0	0	A_07_P058326	ECs1795	1191.99	4441.88	1.65E+03	1.65E+02	1675.5	50	1.66E+01	0	0	0	0	0	0	1668.17	1	1	49.5203	52.8024
DATA	16	1	16	0	0	A_07_P049983	Z5294	1234.53	4441.87	1.86E+03	1.86E+02	1905	50	1.75E+01	0	0	0	0	0	0	1883.83	1	1	48.3494	53.4532
DATA	17	1	17	0	0	A_07_P054674	ECs2229	1276.5	4441.64	2.11E+01	1.07E+01	88	50	1.79E+01	0	0	0	0	0	0	21.3621	1	0	56.6442	54.0834
DATA	18	1	18	0	0	A_07_P038465	c_1548	1319.14	4441.78	3.29E+03	3.29E+02	3290	51	1.78E+01	0	0	0	0	0	0	3337.43	1	1	46.6609	54.6014
DATA	19	1	19	0	0	A_07_P020729	b1619	1361.32	4442.09	7.16E+03	7.16E+02	7102	51	1.85E+01	0	0	0	0	0	0	7289.88	1	1	47.1495	54.7274
DATA	20	1	20	0	0	A_07_P031938	c_2526	1402.72	4441.23	3.72E+01	1.11E+01	104	49	1.74E+01	0	0	0	0	0	0	37.9287	1	0	39.4771	52.7885
DATA	21	1	21	0	0	A_07_P052586	Z2962	1445.82	4442	3.19E+01	1.09E+01	103	50	1.81E+01	0	0	0	0	0	0	32.5518	1	0	54.4786	54.2668
DATA	22	1	22	66	-1	(-)3xSLv1	NegativeControl	1487.35	4441.24	1.03E+01	1.04E+01	63	51	1.83E+01	0	0	0	0	0	0	-5.96029	0	0	37.3901	54.6612
DATA	23	1	23	66	-1	(-)3xSLv1	NegativeControl	1530.44	4442.38	1.03E+01	1.04E+01	78	52	1.85E+01	0	0	0	0	0	0	8.81522	0	0	56.5429	55.4194
DATA	24	1	24	0	0	A_07_P007151	b1243	1572.75	4442.41	2.18E+04	2.18E+03	21579	51	1.78E+01	0	0	0	0	0	0	22458.3	1	1	56.6442	54.8981
