"subject"	"query.name"	"logFC.x"	"logFC.y"	"t"	"P.Value"	"adj.P.Val"	"B"
"76"	"ECs0053"	"A_07_P059420"	1.3104324069235	0.97760029	9.432143485	2.58e-05	0.000117746	2.43837684
"77"	"ECs0054"	"A_07_P035691"	-0.107375558477963	0.111585917	0.956418462	0.369789682	0.455157795	-7.813914109
"78"	"ECs0054"	"A_07_P059421"	-0.139169887388647	0.111585917	0.956418462	0.369789682	0.455157795	-7.813914109
"79"	"ECs0054"	"A_07_P010931"	0.135616515005448	0.111585917	0.956418462	0.369789682	0.455157795	-7.813914109
"80"	"ECs0054"	"A_07_P049156"	-0.191068404912404	0.111585917	0.956418462	0.369789682	0.455157795	-7.813914109
"81"	"ECs0055"	"A_07_P035698"	1.43138709094646	-0.228625883	-2.796350861	0.025844747	0.046067039	-5.272725827
"82"	"ECs0055"	"A_07_P010939"	0.183101680092299	-0.228625883	-2.796350861	0.025844747	0.046067039	-5.272725827
"83"	"ECs0056"	"A_07_P010944"	0.771002738246025	-0.005076733	-0.073602763	0.943324771	0.959834272	-8.369451874
"84"	"ECs0057"	"A_07_P010947"	1.10726156921981	-0.060952129	-0.738817701	0.483344883	0.568397904	-8.031700848
"85"	"ECs0058"	"A_07_P010951"	0.0263309234337078	-0.094820134	-1.36047091	0.214636845	0.286864847	-7.495170835
"86"	"ECs0059"	"A_07_P010957"	0.039667922825182	-0.22662452	-3.025383562	0.018543934	0.034400068	-5.092984283
"87"	"ECs0060"	"A_07_P010964"	0.916689777158622	0.511426851	6.678385776	0.000247366	0.000791999	-0.086835292
"88"	"ECs0061"	"A_07_P010974"	0.063338541416664	0.889694522	9.306801049	2.82e-05	0.000126121	2.501900373
"89"	"ECs0061"	"A_07_P059427"	1.21066917032978	0.889694522	9.306801049	2.82e-05	0.000126121	2.501900373
"90"	"ECs0061"	"A_07_P049162"	1.18030960825776	0.889694522	9.306801049	2.82e-05	0.000126121	2.501900373
"91"	"ECs0062"	"A_07_P010976"	1.8815157178694	1.6778226	19.11855304	1.9e-07	2.81e-06	7.824861501
"92"	"ECs0063"	"A_07_P010981"	1.89982502936806	1.707661348	24.40666432	3.34e-08	8.65e-07	9.620348652
"93"	"ECs0064"	"A_07_P010989"	-0.955325741464107	-0.164516005	-1.792113783	0.114929948	0.166735378	-6.671741457
"94"	"ECs0065"	"A_07_P010994"	-0.0323714360665402	-0.014761956	-0.072098407	0.944480841	0.960116778	-7.680913681
"95"	"ECs0066"	"A_07_P010999"	-0.35618264267639	0.206022986	1.91057001	0.096413133	0.144237003	-6.216834626
"96"	"ECs0067"	"A_07_P011001"	0.256744771179509	0.018410472	0.073260066	0.943588114	0.959923501	-7.667228299
"97"	"ECs0068"	"A_07_P011010"	-1.1846596346023	-1.327995861	-13.43373497	2.28e-06	1.75e-05	5.367314865
"98"	"ECs0069"	"A_07_P035723"	0.27171368284372	0.038476673	0.439284082	0.673306778	0.736366128	-8.064844443
"99"	"ECs0069"	"A_07_P011012"	0.140136195520547	0.038476673	0.439284082	0.673306778	0.736366128	-8.064844443
"100"	"ECs0069"	"A_07_P035723"	0.133541011775189	0.038476673	0.439284082	0.673306778	0.736366128	-8.064844443
"101"	"ECs0069"	"A_07_P035723"	0.286540211765004	0.038476673	0.439284082	0.673306778	0.736366128	-8.064844443
"102"	"ECs0069"	"A_07_P035723"	0.334269168650233	0.038476673	0.439284082	0.673306778	0.736366128	-8.064844443
"103"	"ECs0069"	"A_07_P035723"	0.0983339267647691	0.038476673	0.439284082	0.673306778	0.736366128	-8.064844443
"104"	"ECs0070"	"A_07_P011020"	0.750990832957304	0.598169429	2.049592597	0.078362699	0.120600436	-6.159109758
"105"	"ECs0070"	"A_07_P011020"	1.0024287146847	0.598169429	2.049592597	0.078362699	0.120600436	-6.159109758
"106"	"ECs0070"	"A_07_P011020"	0.819186994301846	0.598169429	2.049592597	0.078362699	0.120600436	-6.159109758
"107"	"ECs0070"	"A_07_P011020"	0.630842029873492	0.598169429	2.049592597	0.078362699	0.120600436	-6.159109758
"108"	"ECs0070"	"A_07_P011020"	0.695687491538547	0.598169429	2.049592597	0.078362699	0.120600436	-6.159109758
"109"	"ECs0071"	"A_07_P011021"	0.784908055540214	0.592487439	1.933168261	0.093224599	0.140157479	-6.386906228
"110"	"ECs0072"	"A_07_P011029"	0.362429845142732	0.090669372	1.402930345	0.202157806	0.272653606	-7.305326805
"111"	"ECs0073"	"A_07_P059432"	1.18943629603914	0.367898472	1.648133482	0.142019405	0.199880517	-6.431919639
"112"	"ECs0073"	"A_07_P049167"	1.19757585569679	0.367898472	1.648133482	0.142019405	0.199880517	-6.431919639
"113"	"ECs0074"	"A_07_P035726"	-0.240653507384382	-0.153075696	-1.120149396	0.298532415	0.380767351	-7.458804185
"114"	"ECs0074"	"A_07_P011033"	-0.608767707968942	-0.153075696	-1.120149396	0.298532415	0.380767351	-7.458804185
"115"	"ECs0074"	"A_07_P049171"	-0.609625103653049	-0.153075696	-1.120149396	0.298532415	0.380767351	-7.458804185
"116"	"ECs0074"	"A_07_P059436"	-0.805854093041467	-0.153075696	-1.120149396	0.298532415	0.380767351	-7.458804185
"117"	"ECs0075"	"A_07_P011045"	-0.352858266502237	-1.654838014	-11.37757747	7.2e-06	4.29e-05	3.900455185
"118"	"ECs0076"	"A_07_P041413"	-0.861202527945804	-1.697677905	-9.934545199	1.82e-05	8.8e-05	2.843969278
"119"	"ECs0076"	"A_07_P051861"	-1.24883782648237	-1.697677905	-9.934545199	1.82e-05	8.8e-05	2.843969278
"120"	"ECs0076"	"A_07_P011046"	-1.28171609267815	-1.697677905	-9.934545199	1.82e-05	8.8e-05	2.843969278
"121"	"ECs0076"	"A_07_P062891"	-1.31879822875198	-1.697677905	-9.934545199	1.82e-05	8.8e-05	2.843969278
"122"	"ECs0077"	"A_07_P049176"	-1.50636029909236	-1.722559146	-11.08228952	8.62e-06	4.95e-05	3.663436664
"123"	"ECs0077"	"A_07_P011055"	-1.38098244533503	-1.722559146	-11.08228952	8.62e-06	4.95e-05	3.663436664
"124"	"ECs0077"	"A_07_P059441"	-1.56186250112371	-1.722559146	-11.08228952	8.62e-06	4.95e-05	3.663436664
"125"	"ECs0077"	"A_07_P035745"	-1.51238844784987	-1.722559146	-11.08228952	8.62e-06	4.95e-05	3.663436664
"126"	"ECs0078"	"A_07_P035746"	-1.15066611756442	-1.588785798	-10.06332323	1.67e-05	8.29e-05	2.885205817
"127"	"ECs0078"	"A_07_P011058"	-1.78849088804982	-1.588785798	-10.06332323	1.67e-05	8.29e-05	2.885205817
"128"	"ECs0080"	"A_07_P011063"	0.25541803189934	0.182216398	0.879577082	0.407416112	0.493468318	-7.123192662
"129"	"ECs0081"	"A_07_P035751"	-1.13064842762956	-1.524274584	-7.025389934	0.00017926	0.000612667	0.293860171
"130"	"ECs0081"	"A_07_P011066"	-1.13215142075976	-1.524274584	-7.025389934	0.00017926	0.000612667	0.293860171
"131"	"ECs0082"	"A_07_P011073"	-0.663741017083612	-1.767938807	-14.58191291	1.28e-06	1.1e-05	5.923085099
"132"	"ECs0084"	"A_07_P011076"	-0.0616303701340098	-0.449621992	-4.93201428	0.001546887	0.003901124	-2.175316091
"133"	"ECs0085"	"A_07_P011082"	0.835710921389088	1.069708872	15.49755876	8.37e-07	8.2e-06	6.139063152
"134"	"ECs0086"	"A_07_P041416"	1.13336564974217	0.827151864	13.02155284	2.83e-06	2.05e-05	4.737204867
"135"	"ECs0086"	"A_07_P011086"	1.10824291516493	0.827151864	13.02155284	2.83e-06	2.05e-05	4.737204867
"136"	"ECs0087"	"A_07_P011094"	0.893380010077983	0.699979897	8.575244802	4.88e-05	0.000201964	1.713126021
"137"	"ECs0088"	"A_07_P011100"	1.02527396696536	0.496879963	6.338914255	0.000343216	0.001047865	-0.573953774
"138"	"ECs0089"	"A_07_P011101"	0.719635480430915	0.420203214	4.465915947	0.002702369	0.00633024	-2.834655358
"139"	"ECs0090"	"A_07_P011107"	1.36272600935325	0.485037268	5.288346085	0.001031008	0.002726931	-1.770887814
"140"	"ECs0091"	"A_07_P011111"	1.04725315547173	0.383127337	1.884643538	0.100201786	0.148926506	-6.54850966
"141"	"ECs0092"	"A_07_P049185"	1.02582651771666	0.431079163	2.883571743	0.022760394	0.041269261	-5.057025425
"142"	"ECs0092"	"A_07_P035759"	1.23668544323111	0.431079163	2.883571743	0.022760394	0.041269261	-5.057025425
"143"	"ECs0092"	"A_07_P059450"	0.987207709967598	0.431079163	2.883571743	0.022760394	0.041269261	-5.057025425
"144"	"ECs0092"	"A_07_P011116"	1.1230091532901	0.431079163	2.883571743	0.022760394	0.041269261	-5.057025425
"145"	"ECs0093"	"A_07_P011122"	1.28448048056927	0.638322114	5.178006423	0.001166835	0.00304962	-1.89640961
"146"	"ECs0094"	"A_07_P011126"	1.17772225601537	0.615796486	7.708051838	9.85e-05	0.000368893	0.85356301
"147"	"ECs0095"	"A_07_P011133"	1.27476724894929	0.53564013	5.067676833	0.001322746	0.003412639	-2.070235291
"148"	"ECs0096"	"A_07_P002432"	1.09176266886039	0.197525464	2.423422243	0.044830209	0.074129225	-5.839947949
"149"	"ECs0097"	"A_07_P002438"	0.776020211983183	0.1585197	2.129821105	0.069507184	0.108561521	-6.278994765
"150"	"ECs0098"	"A_07_P002441"	-0.19370000719293	0.080015238	0.530708618	0.611552284	0.68475396	-8.118303208
"151"	"ECs0099"	"A_07_P002447"	-0.029460468979869	-0.212981311	-0.990399324	0.354010803	0.439497738	-7.883138934
"152"	"ECs0100"	"A_07_P002451"	0.650395098437079	0.81744771	12.04685132	4.85e-06	3.12e-05	3.996531804
"153"	"ECs0101"	"A_07_P002459"	0.933879865130098	0.719610487	5.401116604	0.000910054	0.002449974	-1.649106835
"154"	"ECs0102"	"A_07_P002461"	0.442527353685154	0.17614007	2.245781598	0.058441467	0.093359432	-6.252988134
"155"	"ECs0103"	"A_07_P002469"	0.560257983134266	0.365614719	3.633321472	0.007930802	0.016287798	-3.76907395
"156"	"ECs0105"	"A_07_P035766"	1.10345651441271	0.65963263	4.941060215	0.001530702	0.003865658	-1.79730642
"157"	"ECs0105"	"A_07_P002475"	0.459143064060566	0.65963263	4.941060215	0.001530702	0.003865658	-1.79730642
"158"	"ECs0106"	"A_07_P002479"	0.59858209142375	0.543609857	7.722770843	9.73e-05	0.000364833	0.930004779
"159"	"ECs0107"	"A_07_P002481"	0.780770487035127	0.686769721	6.977377766	0.000187289	0.000633768	0.286282859
"160"	"ECs0108"	"A_07_P002490"	0.150033211757233	-0.366642251	-5.316174617	0.000999585	0.002651811	-1.765937808
"161"	"ECs0110"	"A_07_P002493"	0.156157029233104	-0.02798836	-0.249416002	0.809988357	0.852906815	-7.966785044
"162"	"ECs0111"	"A_07_P002496"	-0.224468122431884	0.437900997	4.492684815	0.002614912	0.006167132	-2.512708692
"163"	"ECs0112"	"A_07_P002501"	0.0949800742794395	0.315214709	1.347471455	0.21859047	0.291637037	-6.462071646
"164"	"ECs0113"	"A_07_P002509"	-0.329836164769436	-0.346042755	-4.19704039	0.00378287	0.008525106	-3.181703155
"165"	"ECs0114"	"A_07_P002511"	-0.511668196791523	-0.625304069	-6.933219082	0.000195032	0.000654296	0.281442409
"166"	"ECs0114"	"A_07_P041423"	-0.29568298328892	-0.625304069	-6.933219082	0.000195032	0.000654296	0.281442409
"167"	"ECs0115"	"A_07_P002518"	-0.46071520268939	-0.719674934	-7.14621731	0.000160706	0.000559758	0.437669763
"168"	"ECs0116"	"A_07_P002521"	-2.23418388418971	-2.920340576	-40.93436477	8.2e-10	1.15e-07	13.55802459
"169"	"ECs0117"	"A_07_P002527"	1.856789118743	1.740816161	20.60973615	1.11e-07	1.92e-06	8.275554108
"170"	"ECs0118"	"A_07_P002535"	1.77043566531949	1.774678719	32.02307402	4.78e-09	2.87e-07	11.64765878
"171"	"ECs0119"	"A_07_P002536"	1.51356001642794	2.110509346	28.43431751	1.12e-08	4.64e-07	10.75596598
"172"	"ECs0120"	"A_07_P002541"	0.698576509432102	0.629600093	9.960063508	1.79e-05	8.7e-05	2.552271848
"173"	"ECs0121"	"A_07_P002546"	-0.205526619579819	0.514593243	6.366003554	0.000334206	0.001023213	-0.342088625
"174"	"ECs0122"	"A_07_P002554"	0.106335068870352	-0.783433419	-11.00655653	9.04e-06	5.1e-05	3.343733898
"175"	"ECs0123"	"A_07_P002559"	0.596136737518365	0.083296084	0.601105357	0.566160962	0.644463582	-7.819637736
"176"	"ECs0123"	"A_07_P035799"	1.06899355762535	0.083296084	0.601105357	0.566160962	0.644463582	-7.819637736
"177"	"ECs0124"	"A_07_P002565"	0.531874114561552	0.461601007	3.957006347	0.005154639	0.011130029	-3.625632303
"178"	"ECs0125"	"A_07_P002568"	0.529605562463308	0.678954283	5.956996873	0.000503953	0.001464171	-1.104213168
"179"	"ECs0126"	"A_07_P002572"	0.0799275181401156	-0.026035344	-0.290869929	0.779331479	0.827642156	-8.197644719
"180"	"ECs0126"	"A_07_P048491"	0.188151974191388	-0.026035344	-0.290869929	0.779331479	0.827642156	-8.197644719
"181"	"ECs0126"	"A_07_P002572"	-0.00869039729995599	-0.026035344	-0.290869929	0.779331479	0.827642156	-8.197644719
"182"	"ECs0126"	"A_07_P035434"	-0.181673325847228	-0.026035344	-0.290869929	0.779331479	0.827642156	-8.197644719
"183"	"ECs0126"	"A_07_P002572"	0.0220840289132615	-0.026035344	-0.290869929	0.779331479	0.827642156	-8.197644719
"184"	"ECs0126"	"A_07_P002572"	0.0951591910251071	-0.026035344	-0.290869929	0.779331479	0.827642156	-8.197644719
"185"	"ECs0126"	"A_07_P002572"	0.181275264768088	-0.026035344	-0.290869929	0.779331479	0.827642156	-8.197644719
"186"	"ECs0126"	"A_07_P058881"	0.241362246430274	-0.026035344	-0.290869929	0.779331479	0.827642156	-8.197644719
"187"	"ECs0127"	"A_07_P051870"	-1.58763789498846	-2.167420343	-14.80479822	1.15e-06	1.02e-05	5.91114478
"188"	"ECs0127"	"A_07_P002577"	-2.2540907414246	-2.167420343	-14.80479822	1.15e-06	1.02e-05	5.91114478
"189"	"ECs0127"	"A_07_P062900"	-1.61810169234511	-2.167420343	-14.80479822	1.15e-06	1.02e-05	5.91114478
"190"	"ECs0128"	"A_07_P002585"	2.72728831415753	1.864844148	13.15011442	2.64e-06	1.94e-05	4.814950818
"191"	"ECs0129"	"A_07_P002588"	0.744846954491864	0.801190778	11.92126221	5.22e-06	3.3e-05	4.06692539
"192"	"ECs0130"	"A_07_P002595"	-0.318629540464511	-0.1998739	-2.182497859	0.064241779	0.101269082	-6.34890142
"193"	"ECs0130"	"A_07_P002595"	-0.330072553376814	-0.1998739	-2.182497859	0.064241779	0.101269082	-6.34890142
"194"	"ECs0130"	"A_07_P002595"	-0.311990627281713	-0.1998739	-2.182497859	0.064241779	0.101269082	-6.34890142
"195"	"ECs0130"	"A_07_P002595"	-0.286356370254526	-0.1998739	-2.182497859	0.064241779	0.101269082	-6.34890142
"196"	"ECs0130"	"A_07_P002595"	-0.310713666132731	-0.1998739	-2.182497859	0.064241779	0.101269082	-6.34890142
"197"	"ECs0131"	"A_07_P002599"	0.644036956363409	0.118117028	1.113321738	0.301266505	0.383960226	-7.579310773
"198"	"ECs0132"	"A_07_P041430"	0.690946915546269	0.075523478	0.588805043	0.573948952	0.652087132	-7.98276242
"199"	"ECs0132"	"A_07_P059452"	0.273246253342503	0.075523478	0.588805043	0.573948952	0.652087132	-7.98276242
"200"	"ECs0132"	"A_07_P049187"	0.373333567191493	0.075523478	0.588805043	0.573948952	0.652087132	-7.98276242
"201"	"ECs0132"	"A_07_P002602"	0.311111845328746	0.075523478	0.588805043	0.573948952	0.652087132	-7.98276242
"202"	"ECs0133"	"A_07_P002609"	1.04134733635779	0.246516068	1.944363727	0.091683223	0.138258502	-6.225166714
"203"	"ECs0134"	"A_07_P002611"	0.27505848174544	0.457989917	6.402172567	0.000322585	0.000991522	-0.38715867
"204"	"ECs0135"	"A_07_P002617"	0.544280377296619	-0.120727999	-1.425351186	0.195830924	0.265562283	-7.28351484
"205"	"ECs0136"	"A_07_P059457"	0.430901268461383	0.00732098	0.053387143	0.95887109	0.969694764	-7.913047649
"206"	"ECs0136"	"A_07_P035809"	0.507413507796927	0.00732098	0.053387143	0.95887109	0.969694764	-7.913047649
"207"	"ECs0136"	"A_07_P002621"	0.363998110549168	0.00732098	0.053387143	0.95887109	0.969694764	-7.913047649
"208"	"ECs0136"	"A_07_P035811"	0.266402446762277	0.00732098	0.053387143	0.95887109	0.969694764	-7.913047649
"209"	"ECs0136"	"A_07_P049192"	0.446076372886605	0.00732098	0.053387143	0.95887109	0.969694764	-7.913047649
"210"	"ECs0137"	"A_07_P049200"	-0.190435101836364	-0.214614357	-2.225405148	0.060249264	0.095929363	-6.236833106
"211"	"ECs0137"	"A_07_P059465"	-0.204348649591827	-0.214614357	-2.225405148	0.060249264	0.095929363	-6.236833106
"212"	"ECs0137"	"A_07_P002626"	-0.111502272339186	-0.214614357	-2.225405148	0.060249264	0.095929363	-6.236833106
"213"	"ECs0137"	"A_07_P035819"	-0.0363369997777674	-0.214614357	-2.225405148	0.060249264	0.095929363	-6.236833106
"214"	"ECs0138"	"A_07_P002634"	-0.152619440130578	-0.110754102	-1.317290038	0.228015746	0.302379532	-7.393966953
"215"	"ECs0138"	"A_07_P035825"	0.0600122737713443	-0.110754102	-1.317290038	0.228015746	0.302379532	-7.393966953
"216"	"ECs0139"	"A_07_P059470"	0.645517674794849	0.553399885	5.713529463	0.000649706	0.001828345	-1.223113119
"217"	"ECs0139"	"A_07_P049205"	0.690931696577564	0.553399885	5.713529463	0.000649706	0.001828345	-1.223113119
"218"	"ECs0140"	"A_07_P049206"	0.456519373553102	0.362312638	3.018525866	0.018727583	0.034705406	-4.466214465
"219"	"ECs0140"	"A_07_P059471"	-0.304974501730195	0.362312638	3.018525866	0.018727583	0.034705406	-4.466214465
"220"	"ECs0141"	"A_07_P049215"	-0.301486241341806	0.297839278	3.22606702	0.013933595	0.026690185	-4.387694873
