FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	1	1	1	260	1	GE_BrightCorner	GE_BrightCorner	5899.04	337.654	7.22E+02	7.23E+01	621	47	1.56E+01	0	0	0	0	0	0	590.052	1	1	51.4496	50.7905
DATA	2	1	2	66	1	DarkCorner	DarkCorner	5941.92	337.44	4.35E+00	4.39E+00	53	48	1.67E+01	0	0	0	0	0	0	-1.53909	0	0	65	51.8488
DATA	3	1	3	66	1	DarkCorner	DarkCorner	5984.12	337.438	4.36E+00	4.40E+00	54	48	1.71E+01	0	0	0	0	0	0	1.487	0	0	65	51.9823
DATA	4	1	4	66	-1	(-)3xSLv1	NegativeControl	6026.53	337.492	4.36E+00	4.40E+00	50.5	48	1.65E+01	0	0	0	0	0	0	-3.16303	0	0	65	51.8396
DATA	5	1	5	0	0	A_07_P030071	c_2962	6068.23	337.51	1.53E+02	1.59E+01	178	49	1.71E+01	0	0	0	0	0	0	124.275	1	1	47.2709	52.8684
DATA	6	1	6	66	-1	(-)3xSLv1	NegativeControl	6108.91	338.176	4.37E+00	4.40E+00	49	49	1.73E+01	0	0	0	0	0	0	-1.77991	0	0	65	53.3025
DATA	7	1	7	66	-1	(-)3xSLv1	NegativeControl	6153.5	337.5	4.37E+00	4.40E+00	50	49	1.70E+01	0	0	0	0	0	0	-2.10553	0	0	65	52.9285
DATA	8	1	8	0	0	A_07_P046244	Z4877	6195.23	337.734	3.55E+02	3.58E+01	333	48	1.70E+01	0	0	0	0	0	0	289.439	1	1	49.5203	52.7955
DATA	9	1	9	0	0	A_07_P010256	b0018	6237.87	337.439	1.17E+03	1.17E+02	1005	49	1.74E+01	0	0	0	0	0	0	955.058	1	1	47.5127	53.4596
DATA	10	1	10	0	0	A_07_P007924	b0242	6280.36	337.558	3.50E+03	3.50E+02	2841	48.5	1.70E+01	0	0	0	0	0	0	2852.6	1	1	51.0022	52.1264
DATA	11	1	11	0	0	A_07_P033036	c_3566	6322.85	337.453	1.37E+01	4.60E+00	63.5	50	1.70E+01	0	0	0	0	0	0	11.2101	1	0	56.5429	52.9718
DATA	12	1	12	0	0	A_07_P062362	ECs1250	6363.99	338.236	6.42E+01	7.77E+00	102	48	1.74E+01	0	0	0	0	0	0	52.5172	1	1	40.9028	52.7301
DATA	13	1	13	66	-1	(-)3xSLv1	NegativeControl	6407.5	337.5	4.34E+00	4.38E+00	53	48	1.62E+01	0	0	0	0	0	0	0.0903545	0	0	65	51.6075
